account_id,date,total_number_of_orders,avg_person_money,total_money
62d8c4721505f84bf0550c18,-31,1,20000,20000
62e8ae331505f8c1cf2aca9b,-20,1,49500,49500
62e001481505f82107f349cf,-15,1,20000,20000
62ea2aaf1505f8c1cf2b8678,-2,1,20000,20000
62d9057d1505f8a5fb0e3758,-8,6,72666.66667,436000
62e27eb91505f86c9bbe0db6,-21,1,49500,49500
62f556771505f8cc71c8e26a,-8,13,20000,260000
62da08001505f8a5fb0ec15e,-19,2,20000,40000
62e3e7751505f86c9bbf3682,-9,1,20000,20000
62d8de641505f84bf0551ad0,-6,12,33958.33333,407500
62eb39ea1505f8c1cf2c0976,-10,1,20000,20000
62d918e11505f8a5fb0e4dcd,-29,1,20000,20000
62f1c64a1505f8c1cf2e9b28,-13,1,20000,20000
62de911f1505f82107f279df,-25,1,20000,20000
62d8e3dc1505f84bf0551df5,-32,1,20000,20000
62ef22841505f8c1cf2d933d,-15,1,20000,20000
62d937f01505f8a5fb0e6784,-23,1,20000,20000
62ebf2d81505f8c1cf2c7168,-17,1,20000,20000
62dc15a51505f82107f158ad,-11,8,141125,1129000
62dfc72a1505f82107f314cb,-18,2,59500,119000
62e373271505f86c9bbec40a,-24,1,20000,20000
62e6ad0f1505f85c7c7c3b9d,-12,2,20000,40000
62ebf1921505f8c1cf2c70f0,-16,1,20000,20000
62dd4e0a1505f82107f1efa5,-9,5,41700,208500
62fc26411505f80c8080c54b,-5,1,20000,20000
62e2a1ef1505f86c9bbe3fcb,-25,1,20000,20000
6300fffe1505f8fb5aa59bbd,-1,6,198000,1188000
62e564bc1505f85c7c7b3c8f,-12,2,59500,119000
62e4c7f31505f85c7c7a9710,-16,1,99000,99000
62ea7db71505f8c1cf2bb684,-16,1,20000,20000
62ea04361505f8c1cf2b7140,-1,22,93250,2051500
62dc1e8e1505f82107f15df8,-30,1,20000,20000
62dd34641505f82107f1de6a,-21,1,198000,198000
62f5c74d1505f8cc71c8fbb4,-3,12,116375,1396500
62d8bb691505f84bf055071e,-32,1,20000,20000
62d825c01505f84bf054e4db,-17,1,20000,20000
62e9334d1505f8c1cf2b29e0,-14,1,20000,20000
62deac021505f82107f28fa5,-28,1,20000,20000
62e143351505f86c9bbd0f0b,-23,1,20000,20000
62d915031505f8a5fb0e4a63,-10,9,134222.2222,1208000
62db8e491505f82107f10562,-1,16,124406.25,1990500
62db4abe1505f82107f0def4,-30,1,20000,20000
62ec0a7d1505f8c1cf2c767d,-17,1,20000,20000
62f7bdaa1505f8cc71c9a9a3,-8,1,20000,20000
62e439da1505f85c7c7a3e1d,-18,3,46333.33333,139000
62e354041505f86c9bbe9f02,-4,35,122800,4298000
62de92ff1505f82107f27b50,-6,9,100166.6667,901500
62f5ff921505f8cc71c91364,-9,2,20000,40000
62d9340c1505f8a5fb0e649c,-1,2,20000,40000
62da9c291505f8a5fb0f17c1,-7,1,49500,49500
62daab351505f8a5fb0f21bc,-13,1,20000,20000
62df92891505f82107f2ee1d,-19,2,20000,40000
62e154871505f86c9bbd2645,-22,6,20000,120000
62fc5e1d1505f80c8080d198,-3,5,51600,258000
62e50fdd1505f85c7c7adc99,-23,1,20000,20000
62e3c9db1505f86c9bbf12ca,-7,4,59500,238000
62d91d5a1505f8a5fb0e5198,-32,1,20000,20000
62d942e61505f8a5fb0e70b3,-29,1,20000,20000
62d92ef21505f8a5fb0e603d,-27,1,49500,49500
62e148d61505f86c9bbd173b,-25,1,20000,20000
62d848fd1505f84bf054ebd1,-14,1,495000,495000
62da41b91505f8a5fb0ee361,-6,4,20000,80000
62d90fd81505f8a5fb0e45a0,-7,10,816750,8167500
62d98fed1505f8a5fb0ea45a,-26,4,27375,109500
62e28ce91505f86c9bbe21e2,-23,2,198000,396000
62dd63ca1505f82107f1fd56,-29,1,20000,20000
62d8fd421505f84bf0552973,-7,5,79200,396000
62e35dee1505f86c9bbeaa94,-24,1,20000,20000
62d8d38a1505f84bf05514b6,-12,8,110187.5,881500
62d8f0921505f84bf055237b,-30,1,49500,49500
62d906201505f8a5fb0e3887,-30,1,20000,20000
62ecc1fb1505f8c1cf2cafe3,-17,1,20000,20000
62dc44cf1505f82107f16956,-29,1,20000,20000
62e3fd611505f86c9bbf4e64,-14,2,59500,119000
62e237591505f86c9bbdbf61,-25,1,20000,20000
62dfc3451505f82107f311e0,-24,1,20000,20000
62e50c151505f85c7c7ad88c,-21,4,84250,337000
62e3d5141505f86c9bbf1f53,-22,1,20000,20000
62e80a341505f8c1cf2a911c,-17,2,74250,148500
62f631381505f8cc71c926b0,-8,1,20000,20000
62d977c51505f8a5fb0e9c2f,-23,2,59500,119000
62f8d8fd1505f8cc71ca0523,-8,1,20000,20000
